ID,occurrenceID,catalogNumber,otherCatalogNumbers,NEON_ID,Absorbance,Slope ,Intercept,ppm_P,mg P_g litter,percent_P,percent_C,percent_N,CN,13C,15N,plotID,decimalLatitude,decimalLongitude
98,NEON00ZV2,NEON00ZV2,NEON sampleCode (barcode): A00000083827; NEON sampleID: BBC.DELA041044.20190729.2-10.POOL.AR,394481,1.259,0.0508,0.1402,22.023622,1.1011811,0.001101181,47.05,0.66,71.6,-28.7,4.2,DELA_041,32.540703,-87.807742
99,NEON00ZV4,NEON00ZV4,NEON sampleCode (barcode): A00000083832; NEON sampleID: BBC.DELA042327.20190729.0-1.POOL.AR,394483,1.49033333,0.0508,0.1402,26.5774278,1.32887139,0.001328871,43.66,0.88,49.6,-30.4,2.6,DELA_042,32.541787,-87.805204
100,NEON00ZV5,NEON00ZV5,NEON sampleCode (barcode): A00000083835; NEON sampleID: BBC.DELA042327.20190729.2-10.POOL.AR,394484,1.173,0.0508,0.1402,20.3307087,1.016535435,0.001016535,44.34,0.53,84.1,-28.3,1.6,DELA_042,32.541787,-87.805204
101,NEON00ZV7,NEON00ZV7,NEON sampleCode (barcode): A00000083818; NEON sampleID: BBC.DELA043575.20190722.0-1.POOL.AR,394486,1.465,0.0508,0.1402,26.0787402,1.30393701,0.001303937,43.59,1.79,24.4,-29.2,0,DELA_043,32.539604,-87.806783
102,NEON00ZV9,NEON00ZV9,NEON sampleCode (barcode): A00000083759; NEON sampleID: BBC.DELA043575.20190722.2-10.POOL.AR,394488,1.703,0.0508,0.1402,31.63298969,1.581649485,0.001581649,41.55,1.01,41.1,-27.7,1,DELA_043,32.539604,-87.806783
103,NEON00ZVK,NEON00ZVK,NEON sampleCode (barcode): A00000083977; NEON sampleID: BBC.DELA047646.20190730.0-1.POOL.AR,394499,1.28333333,0.0508,0.1402,24.48522337,1.224261168,0.001224261,45.71,1.06,43.2,-29.6,2.4,DELA_047,32.539653,-87.800371
104,NEON00ZVM,NEON00ZVM,NEON sampleCode (barcode): A00000083981; NEON sampleID: BBC.DELA047646.20190730.2-10.POOL.AR,394501,3.146,0.0508,0.1402,61.73446667,3.086723333,0.003086723,44.52,0.87,50.9,-30.6,1.6,DELA_047,32.539653,-87.800371
105,NEON00ZFB,NEON00ZFB,NEON sampleCode (barcode): B00000025865; NEON sampleID: BBC.MLBS075710.20180820.2-10.POOL.AR,244678,1.133,0.0508,0.1402,19.5433071,0.977165355,0.000977165,44.38,0.32,136.7,-28.1,-1.6,MLBS_075,31.852659,-88.161998
106,NEON00ZFD,NEON00ZFD,NEON sampleCode (barcode): B00000025861; NEON sampleID: BBC.MLBS075710.20180820.05-1.POOL.AR,244680,1.119,0.0508,0.1402,19.2677165,0.963385825,0.000963386,47.3,0.46,103.5,-28.7,-0.7,MLBS_075,31.852659,-88.161998
107,NEON00ZFI,NEON00ZFI,NEON sampleCode (barcode): B00000025857; NEON sampleID: BBC.MLBS074347.20180816.2-10.POOL.AR,244685,1.64933333,0.0508,0.1402,29.7073491,1.485367455,0.001485367,44.21,0.89,49.8,-26.6,1.7,MLBS_074,37.377761,-80.524585
108,NEON00ZFK,NEON00ZFK,NEON sampleCode (barcode): B00000025853; NEON sampleID: BBC.MLBS074347.20180816.05-1.POOL.AR,244687,1.34666667,0.0508,0.1402,23.7493438,1.18746719,0.001187467,47.87,0.85,57.6,-28.4,0.8,MLBS_074,37.377761,-80.524585
109,NEON00ZFN,NEON00ZFN,NEON sampleCode (barcode): B00000025380; NEON sampleID: BBC.MLBS073277.20180815.2-10.POOL.AR,244690,1.35633333,0.0508,0.1402,23.9396325,1.196981625,0.001196982,45.97,0.56,82.6,-28.2,0.1,MLBS_073,37.378011,-80.525919
110,NEON00ZFO,NEON00ZFO,NEON sampleCode (barcode): B00000025363; NEON sampleID: BBC.MLBS073277.20180815.05-1.POOL.AR,244691,1.65866667,0.0508,0.1402,29.8910761,1.494553805,0.001494554,48.94,1.03,52.4,-28.6,0.7,MLBS_073,37.378011,-80.525919
111,NEON00ZGF,NEON00ZGF,NEON sampleCode (barcode): B00000025771; NEON sampleID: BBC.MLBS067054.20180814.2-10.POOL.AR,244718,1.34966667,0.0508,0.1402,23.808399,1.19041995,0.00119042,44.41,0.56,83.7,-28,-1.4,MLBS_067,37.37856,-80.52727
112,NEON00ZGH,NEON00ZGH,NEON sampleCode (barcode): B00000025775; NEON sampleID: BBC.MLBS067054.20180814.05-1.POOL.AR,244720,1.04166667,0.0508,0.1402,17.7454068,0.88727034,0.00088727,47.2,0.83,60.4,-28.7,-1.1,MLBS_067,37.37856,-80.52727
113,NEON00ZGT,NEON00ZGT,NEON sampleCode (barcode): B00000025358; NEON sampleID: BBC.MLBS063936.20180814.2-10.POOL.AR,244732,1.50566667,0.0508,0.1402,26.8792651,1.343963255,0.001343963,46.42,0.6,93.8,-28.2,-2.1,MLBS_063,31.853773,-88.161978
114,NEON00ZGU,NEON00ZGU,NEON sampleCode (barcode): B00000025360; NEON sampleID: BBC.MLBS063936.20180814.05-1.POOL.AR,244733,1.19566667,0.0508,0.1402,20.7769029,1.038845145,0.001038845,49.44,0.94,59.9,-28.8,-0.9,MLBS_063,31.857053,-88.161742
115,NEON02FC6,NEON02FC6,NEON sampleCode (barcode): A00000139928; NEON sampleID: BBC.WREF077575.20190903.0-1.POOL.AR,730563,1.27233333,0.0508,0.1402,24.90446735,1.245223368,0.001245223,45.24,0.81,55.8,-29.6,-0.8,WREF_077,45.823126,-121.958667
116,NEON02FCG,NEON02FCG,NEON sampleCode (barcode): A00000139927; NEON sampleID: BBC.WREF077575.20190903.1-2.POOL.AR,730573,0.948,0.0508,0.1402,16.16907216,0.808453608,0.000808454,47.19,0.59,79.4,-28.8,-1.8,WREF_077,45.823126,-121.958667
117,NEON02FC3,NEON02FC3,NEON sampleCode (barcode): A00000139666; NEON sampleID: BBC.WREF070145.20190821.0-1.POOL.AR,730560,1.71966667,0.0508,0.1402,30.38900344,1.519450172,0.00151945,44.8,0.67,67.1,-28.6,-0.4,WREF_070,45.824185,-121.955555
118,NEON02FCD,NEON02FCD,NEON sampleCode (barcode): A00000139688; NEON sampleID: BBC.WREF070145.20190821.1-2.POOL.AR,730570,1.15733333,0.0508,0.1402,19.66735395,0.983367698,0.000983368,51.16,0.52,98.9,-29,-2.9,WREF_070,45.824185,-121.955555
119,NEON02FEN,NEON02FEN,NEON sampleCode (barcode): A00000140149; NEON sampleID: BBC.WREF075096.20190826.2-10.POOL.AR,730652,0.785,0.0508,0.1402,12.6929134,0.63464567,0.000634646,49.35,0.31,160,-30.4,-3.9,WREF_075,45.826901,-121.958225
120,NEON02FEP,NEON02FEP,NEON sampleCode (barcode): A00000140105; NEON sampleID: BBC.WREF075096.20190826.0-1.POOL.AR,730654,1.56433333,0.0508,0.1402,32.8838488,1.64419244,0.001644192,47.27,0.7,68,-28.4,-2.8,WREF_075,45.826901,-121.958225
121,NEON02FDP,NEON02FDP,NEON sampleCode (barcode): A00000139877; NEON sampleID: BBC.WREF089080.20190903.0-1.POOL.AR,730618,1.61433333,0.0508,0.1402,28.82199313,1.441099656,0.0014411,42.61,0.77,55.4,-28,-1.5,WREF_089,45.822925,-121.960577
122,NEON02FE7,NEON02FE7,NEON sampleCode (barcode): A00000139879; NEON sampleID: BBC.WREF089080.20190903.2-10.POOL.AR,730636,0.73866667,0.0508,0.1402,11.7808399,0.589041995,0.000589042,47.47,0.44,-29.3,-29.3,-3.4,WREF_089,45.822925,-121.960577
123,NEON02FDS,NEON02FDS,NEON sampleCode (barcode): A00000139669; NEON sampleID: BBC.WREF086051.20190828.0-1.POOL.AR,730621,1.27833333,0.0508,0.1402,22.4041995,1.120209975,0.00112021,48.01,0.8,60.2,-29.3,-1.9,WREF_086,45.822279,-121.957115
124,NEON02FEA,NEON02FEA,NEON sampleCode (barcode): A00000139677; NEON sampleID: BBC.WREF086051.20190828.2-10.POOL.AR,730639,0.75266667,0.0508,0.1402,12.0564304,0.60282152,0.000602822,49.58,0.43,116.4,-29.1,-3.5,WREF_086,45.822279,-121.957115
125,NEON02FBS,NEON02FBS,NEON sampleCode (barcode): A00000101528; NEON sampleID: BBC.BONA093405.20190807.0-1.POOL.AR,730510,1.96633333,0.0508,0.1402,34.213382,1.7106691,0.001710669,48.81,1,49.1,-27.4,0.4,BONA_093,65.155786,-147.504653
126,NEON02FBU,NEON02FBU,NEON sampleCode (barcode): A00000101532; NEON sampleID: BBC.BONA093405.20190807.2-10.POOL.AR,730512,1.14933333,0.0508,0.1402,19.8648294,0.99324147,0.000993241,49.88,0.67,74.5,-27.7,-1.9,BONA_093,65.155786,-147.504653
127,NEON02FAZ,NEON02FAZ,NEON sampleCode (barcode): A00000101462; NEON sampleID: BBC.BONA084608.20190729.0-1.POOL.AR,730481,2.085,0.0508,0.1402,38.2834646,1.91417323,0.001914173,44.2,1.375,32.15,-29.7,1.4,BONA_084,65.155247,-147.512957
128,NEON02FB1,NEON02FB1,NEON sampleCode (barcode): A00000101466; NEON sampleID: BBC.BONA084608.20190729.2-10.POOL.AR,730483,1.48666667,0.0508,0.1402,26.5052493,1.325262465,0.001325262,49.4,0.62,80.3,-30,-0.4,BONA_084,65.155247,-147.512957
129,NEON02F9J,NEON02F9J,NEON sampleCode (barcode): A00000101333; NEON sampleID: BBC.BONA076947.20190826.0-1.POOL.AR,730429,1.43066667,0.0508,0.1402,25.4028871,1.270144355,0.001270144,48.93,0.95,51.5,-28.6,-0.8,BONA_076,65.155812,-147.502084
130,NEON02F9U,NEON02F9U,NEON sampleCode (barcode): A00000101328; NEON sampleID: BBC.BONA076947.20190826.2-10.POOL.AR,730440,0.71966667,0.0508,0.1402,11.4068241,0.570341205,0.000570341,51.6,0.54,95.9,-28,1.8,BONA_076,65.155812,-147.502084
131,NEON02F9M,NEON02F9M,NEON sampleCode (barcode): A00000101309; NEON sampleID: BBC.BONA075953.20190805.0-1.POOL.AR,730432,1.54066667,0.0508,0.1402,28.67766323,1.433883162,0.001433883,49.43,1.39,35.7,-28.6,-1.1,BONA_075,65.158209,-147.507859
132,NEON02F9O,NEON02F9O,NEON sampleCode (barcode): A00000101313; NEON sampleID: BBC.BONA075953.20190805.2-10.POOL.AR,730434,0.91433333,0.0508,0.1402,15.2388451,0.761942255,0.000761942,49.12,0.78,63.3,-28.3,-2.6,BONA_075,65.158209,-147.507859
133,NEON02F8V,NEON02F8V,NEON sampleCode (barcode): A00000101104; NEON sampleID: BBC.BONA071109.20190903.0-1.POOL.AR,730405,1.27233333,0.0508,0.1402,22.2860892,1.11430446,0.001114304,50.12,0.88,57.1,-27.7,-1.1,BONA_071,65.154979,-147.507196
134,NEON02F8X,NEON02F8X,NEON sampleCode (barcode): A00000101108; NEON sampleID: BBC.BONA071109.20190903.2-10.POOL.AR,730407,0.67766667,0.0508,0.1402,10.5800525,0.529002625,0.000529003,51.66,0.69,74.4,-27.4,-1.5,BONA_071,65.154979,-147.507196
135,NEON02FG4,NEON02FG4,NEON sampleCode (barcode): A00000031906; NEON sampleID: BBC.PUUM044156.20190610.2-10.POOL.AR,735620,0.37933333,0.0508,0.1402,4.70734908,0.235367454,0.000235367,47.79,0.38,125.7631579,-29.5,-3.8,PUUM_044,19.552827,-155.321465
136,NEON02YUR,NEON02YUR,NEON sampleCode (barcode): A00000031886; NEON sampleID: BBC.PUUM044156.20190610.0-1.POOL.AR,735622,0.59433333,0.0508,0.1402,8.93963255,0.446981628,0.000446982,49.67,0.69,71.98550725,-29.2,-4.1,PUUM_044,19.552827,-155.321465
137,NEON02FGA,NEON02FGA,NEON sampleCode (barcode): A00000066314; NEON sampleID: BBC.PUUM040153.20190528.2-10.POOL.AR,735627,0.51366667,0.0508,0.1402,7.35170604,0.367585302,0.000367585,48.99,1.02,48.02941176,-28.2,-2.3,PUUM_040,19.552827,-155.319745
138,NEON02FGC,NEON02FGC,NEON sampleCode (barcode): A00000031919; NEON sampleID: BBC.PUUM040153.20190528.0-1.POOL.AR,735629,0.77733333,0.0508,0.1402,12.5419948,0.62709974,0.0006271,49.72,1.7,29.24705882,-28.2,-2.9,PUUM_040,19.552827,-155.319745
139,NEON02FGH,NEON02FGH,NEON sampleCode (barcode): A00000031921; NEON sampleID: BBC.PUUM036156.20190603.2-10.POOL.AR,735634,0.47,0.0508,0.1402,6.49212598,0.324606299,0.000324606,48.33,1.3,37.17692308,-28.5,-2.8,PUUM_036,19.554406,-155.323212
140,NEON02FGJ,NEON02FGJ,NEON sampleCode (barcode): A00000031931; NEON sampleID: BBC.PUUM036156.20190603.0-1.POOL.AR,735636,0.87266667,0.0508,0.1402,14.4186352,0.72093176,0.000720932,47.91,1.4,34.22142857,-28.4,-1.6,PUUM_036,19.554406,-155.323212
141,NEON02FGQ,NEON02FGQ,NEON sampleCode (barcode): A00000031939; NEON sampleID: BBC.PUUM033156.20190624.2-10.POOL.AR,735643,0.29633333,0.0508,0.1402,3.07349081,0.153674541,0.000153675,44.28,0.29,152.6896552,-28.1,-6,PUUM_033,19.551459,-155.319443
142,NEON02FGS,NEON02FGS,NEON sampleCode (barcode): A00000031937; NEON sampleID: BBC.PUUM033156.20190624.0-1.POOL.AR,735645,0.42666667,0.0508,0.1402,5.63910761,0.281955381,0.000281955,49.19,0.59,83.37288136,-29.1,-5.1,PUUM_033,19.551459,-155.319443
143,NEON02FGW,NEON02FGW,NEON sampleCode (barcode): A00000031933; NEON sampleID: BBC.PUUM031150.20190506.2-10.POOL.AR,735649,0.37466667,0.0508,0.1402,4.61548556,0.230774278,0.000230774,50.12,1.27,39.46456693,-28.8,-1.3,PUUM_031,19.553624,-155.319191
144,NEON02FGY,NEON02FGY,NEON sampleCode (barcode): A00000031944; NEON sampleID: BBC.PUUM031150.20190506.0-1.POOL.AR,735651,0.56433333,0.0508,0.1402,8.34908136,0.417454068,0.000417454,50.21,1.63,30.80368098,-28.4,-1.7,PUUM_031,19.553624,-155.319191
